make,model,body_type,miles,engine_vol,engine_size,transmission,feul_type,brand_new,Age
,5 Series,,51891,,211,,,,
,5 Series Gran Turismo,,66442,,174,,,,
,6 Series,,79900,,222,,,,
,6 Series Gran Coupe,,40000,,248,,,,
,6 Series Gran Turismo,,59067,,163,,,,
,7 Series,,36718,,161,,,,
,8 Series,,4300,,286,,,,
,8 Series Alpina B8,,33000,,208,,,,
,8 Series Gran Coupe,,25000,,265,,,,
,Alpina B10,,23735,,215,,,,
,Alpina B3,,29850,,128,,,,
,Alpina B5,,29400,,230,,,,
,Alpina B8,,13278,,272,,,,
,Alpina D3,,73500,,134,,,,
,Alpina D4,,70637,,237,,,,
,Alpina D5,,30331,,249,,,,
,Alpina Roadster,,57297,,241,,,,
,Alpina Unspecified Models,,41588,,313,,,,
